10:25;AY1601;Helsinki (HEL);Finnair (Oneworld Livery) ;A319 (OH-LVD) ;Landed 10:15;Arrival
10:25;AZ348;Rome (FCO);Alitalia ;A319 (EI-IMM) ;Landed 10:16;Arrival
10:30;BA2622;London (LGW);British Airways ;A320 (G-MIDS) ;Landed 10:35;Arrival
10:30;U22121;London (LTN);easyJet ;A319 (OE-LQK) ;Landed 10:29;Arrival
10:36;HS448;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Arrival
10:36;W25116;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Arrival
10:37;HS449;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Arrival
10:37;W25118;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Arrival
10:40;IB3632;Madrid (MAD);Iberia Express ;A320 (EC-JSK) ;Landed 10:26;Arrival
10:40;TK1813;Istanbul (IST);Turkish Airlines ;B738 (TC-JVZ) ;Landed 10:13;Arrival
10:50;BA342;London (LHR);British Airways ;A321 (G-EUXK) ;Landed 11:05;Arrival
10:55;AF6206;Paris (ORY);Air France ;A320 (F-HBNA) ;Landed 10:58;Arrival
11:06;HS450;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Arrival
11:06;W25120;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Arrival
11:07;HS451;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Arrival
11:07;W25122;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Arrival
11:20;TU996;Tunis (TUN);Tunisair ;A320 (TS-IMS) ;Landed 11:26;Arrival
11:25;AF7702;Paris (CDG);Air France ;A321 (F-GTAO) ;Landed 11:22;Arrival
11:25;KL1253;Amsterdam (AMS);KLM ;B738 (PH-BXL) ;Landed 11:12;Arrival
11:30;EW9420;Dusseldorf (DUS);Eurowings ;A319 (D-AKNP) ;Landed 11:30;Arrival
11:30;U28351;London (LGW);easyJet ;A319 (G-EZDH) ;Landed 11:17;Arrival
11:35;AF6208;Paris (ORY);Air France ;A319 (F-GRXB) ;Landed 11:39;Arrival
11:35;A53244;Bordeaux (BOD);Air France ;A318 (F-GUGE) ;Landed 11:36;Arrival
11:36;HS452;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Arrival
11:36;W25124;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Arrival
11:37;HS453;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Arrival
11:37;W25126;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Arrival
11:45;U21686;Bordeaux (BOD);easyJet ;A320 (OE-IJX) ;Landed 11:45;Arrival
11:50;U23353;Venice (VCE);easyJet ;A319 (G-EZAO) ;Landed 11:37;Arrival
12:05;SK793;Copenhagen (CPH);SAS ;A320 (OY-KAY) ;Landed 11:51;Arrival
12:05;U21001;Basel (BSL);easyJet ;A320 (G-EZWD) ;Landed 12:18;Arrival
12:06;HS454;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Arrival
12:06;W25128;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Arrival
12:07;HS455;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Arrival
12:07;W25130;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Arrival
12:10;EW5868;Vienna (VIE);Eurowings ;A319 (OE-LYW) ;Landed 12:06;Arrival
12:10;U21698;Barcelona (BCN);easyJet ;A320 (G-EZWP) ;Landed 13:33;Arrival
12:15;A53564;Strasbourg (SXB);Conair Aviation (90) ;AT8T (C-FDHZ) ;Landed 14:46;Arrival
